#r 	 chord 	 twist
2.848    1.687    28.950
2.978    1.671    28.223
3.108    1.655    27.524
3.238    1.639    26.849
3.368    1.622    26.197
3.498    1.605    25.567
3.697    1.577    24.637
3.957    1.541    23.497
4.216    1.503    22.425
4.476    1.464    21.417
4.735    1.424    20.471
4.994    1.382    19.582
5.253    1.339    18.750
5.513    1.295    17.972
5.772    1.250    17.246
6.032    1.204    16.571
6.291    1.156    15.943
6.550    1.107    15.363
6.809    1.058    14.829
7.069    1.007    14.337
7.328    0.955    13.875
7.587    0.902    13.441
7.847    0.848    13.031
8.106    0.793    12.645
8.365    0.738    12.278
8.625    0.681    11.931
8.884    0.623    11.600
9.143    0.564    11.285
9.403    0.505    10.983
9.662    0.445    11.088
9.920    0.281    13.310
10.000    0.004    9.043
