#r 	 chord 	 twist
2.600    1.518    31.471
2.730    1.546    30.242
2.860    1.570    29.095
2.990    1.591    28.026
3.120    1.610    27.027
3.250    1.625    26.091
3.420    1.641    24.957
3.678    1.657    23.397
3.937    1.663    22.011
4.196    1.659    20.772
4.455    1.647    19.661
4.713    1.627    18.658
4.972    1.599    17.749
5.231    1.565    16.923
5.490    1.525    16.168
5.748    1.479    15.475
6.007    1.429    14.839
6.266    1.374    14.252
6.525    1.316    13.708
6.784    1.255    13.204
7.042    1.192    12.735
7.301    1.127    12.297
7.560    1.062    11.889
7.819    0.996    11.506
8.077    0.931    11.147
8.336    0.867    10.809
8.595    0.804    10.491
8.854    0.744    10.191
9.113    0.687    9.907
9.371    0.634    9.639
9.630    0.582    9.385
9.880    0.396    9.151
10.000    0.026    9.061
