# QPROP Version 1.22
# 
# APC20x10E                                                                       
# 
# Scorpion-SII4020-420                                                            
#   0.34000E-01  motor parameter 1 ,  R  (Ohms) 
#   0.91000      motor parameter 2 ,  Io (Amps) 
#    420.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.0840     kg/m^3
#   mu  = 0.18700E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   4800.      0.000   43.24       1.124       564.8      13.140   50.3263   0.8540   0.0000   0.00000  0.2415E-01  0.2470E-02  19.8396   0.0000   661.3       0.000       1.1829  0.2803E-01
    1.304   4800.      0.000   42.14       1.136       571.2      13.159   50.8912   0.8530   0.0962   0.01022  0.2353E-01  0.2498E-02  18.3253   0.0821   669.7       54.97       1.1509  0.2561E-01
    2.609   4800.      0.000   40.92       1.147       576.4      13.174   51.3493   0.8521   0.1852   0.02043  0.2285E-01  0.2521E-02  16.8674   0.1578   676.5       106.8       1.1154  0.2344E-01
    3.913   4800.      0.000   39.58       1.154       580.1      13.185   51.6711   0.8515   0.2670   0.03065  0.2210E-01  0.2537E-02  15.4668   0.2273   681.3       154.9       1.0764  0.2156E-01
    5.217   4800.      0.000   38.10       1.158       581.9      13.191   51.8248   0.8512   0.3417   0.04086  0.2128E-01  0.2545E-02  14.1239   0.2908   683.6       198.8       1.0339  0.1996E-01
    6.522   4800.      0.000   36.50       1.157       581.3      13.189   51.7768   0.8513   0.4095   0.05108  0.2039E-01  0.2543E-02  12.8389   0.3486   682.9       238.1       0.9879  0.1865E-01
    7.826   4800.      0.000   34.78       1.150       578.1      13.179   51.4924   0.8518   0.4708   0.06130  0.1942E-01  0.2529E-02  11.6115   0.4010   678.6       272.2       0.9384  0.1761E-01
    9.130   4800.      0.000   32.92       1.137       571.4      13.159   50.9062   0.8529   0.5261   0.07151  0.1839E-01  0.2499E-02  10.4416   0.4487   669.9       300.6       0.8855  0.1659E-01
   10.435   4800.      0.000   30.94       1.118       561.8      13.131   50.0703   0.8545   0.5747   0.08173  0.1728E-01  0.2457E-02   9.3277   0.4911   657.5       322.9       0.8295  0.1627E-01
   11.739   4800.      0.000   28.89       1.092       549.1      13.093   48.9556   0.8566   0.6176   0.09195  0.1613E-01  0.2402E-02   8.2800   0.5290   641.0       339.1       0.7716  0.1601E-01
   13.043   4800.      0.000   26.76       1.060       532.9      13.045   47.5370   0.8593   0.6550   0.10216  0.1494E-01  0.2331E-02   7.2963   0.5628   620.1       349.0       0.7121  0.1582E-01
   14.348   4800.      0.000   24.56       1.020       512.9      12.985   45.7900   0.8626   0.6869   0.11238  0.1371E-01  0.2243E-02   6.3740   0.5925   594.6       352.3       0.6510  0.1571E-01
   15.652   4800.      0.000   22.28      0.9727       488.9      12.914   43.6918   0.8665   0.7134   0.12259  0.1244E-01  0.2139E-02   5.5102   0.6182   564.2       348.8       0.5884  0.1568E-01
   16.957   4800.      0.000   19.94      0.9165       460.7      12.830   41.2220   0.8711   0.7341   0.13281  0.1114E-01  0.2015E-02   4.7017   0.6394   528.9       338.2       0.5244  0.1576E-01
   18.261   4800.      0.000   17.54      0.8515       428.0      12.733   38.3590   0.8763   0.7483   0.14303  0.9794E-02  0.1872E-02   3.9452   0.6557   488.4       320.3       0.4593  0.1594E-01
   19.565   4800.      0.000   15.07      0.7769       390.5      12.621   35.0818   0.8820   0.7549   0.15324  0.8414E-02  0.1708E-02   3.2374   0.6658   442.8       294.8       0.3930  0.1625E-01
   20.870   4800.      0.000   12.53      0.6926       348.1      12.495   31.3701   0.8881   0.7515   0.16346  0.7000E-02  0.1523E-02   2.5749   0.6674   392.0       261.6       0.3257  0.1667E-01
   22.174   4800.      0.000   9.941      0.5978       300.5      12.354   27.2047   0.8942   0.7335   0.17368  0.5552E-02  0.1314E-02   1.9544   0.6559   336.1       220.4       0.2575  0.1723E-01
   23.478   4800.      0.000   7.289      0.4924       247.5      12.196   22.5671   0.8993   0.6914   0.18389  0.4071E-02  0.1083E-02   1.3729   0.6218   275.2       171.1       0.1886  0.1790E-01
   24.783   4800.      0.000   4.580      0.3758       188.9      12.022   17.4402   0.9011   0.6009   0.19411  0.2558E-02  0.8263E-03   0.8274   0.5414   209.7       113.5       0.1190  0.1871E-01
   26.087   4800.      0.000   1.816      0.2478       124.5      11.830   11.8075   0.8916   0.3804   0.20432  0.1014E-02  0.5447E-03   0.3150   0.3392   139.7       47.38       0.0490  0.1964E-01
   27.391   4800.      0.000  -1.002      0.1079       54.21      11.621    5.6536   0.8252  -0.5063   0.21454 -0.5596E-03  0.2371E-03  -0.1670  -0.4177   65.70      -27.45      -0.0215  0.2070E-01
   28.696   4800.      0.000  -3.809     -0.2692E-01  -13.53      11.419   -0.2740   4.3243   8.0771   0.22476 -0.2127E-02 -0.5919E-04  -0.6106  34.9276  -3.129      -109.3      -0.0883  0.2523E-01
   30.000   4800.      0.000  -6.393     -0.1490      -74.92      11.237   -5.6452   1.1810   2.5599   0.23497 -0.3570E-02 -0.3277E-03  -0.9861   3.0233  -63.43      -191.8      -0.1474  0.3127E-01
